"Notes"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"UCD - ICD Sub-Chapter"	"UCD - ICD Sub-Chapter Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with other specified complications"	"E11.6"	1392	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with multiple complications"	"E11.7"	4909	4791200056	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, with unspecified complications"	"E11.8"	36	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	197294	4791200056	4.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with coma"	"E12.0"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with ketoacidosis"	"E12.1"	4	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with renal complications"	"E12.2"	19	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with ophthalmic complications"	"E12.3"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with neurological complications"	"E12.4"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with peripheral circulatory complications"	"E12.5"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with other specified complications"	"E12.6"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with multiple complications"	"E12.7"	6	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, with unspecified complications"	"E12.8"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Malnutrition-related diabetes mellitus, without complications"	"E12.9"	77	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with coma"	"E13.0"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with ketoacidosis"	"E13.1"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with renal complications"	"E13.2"	12	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with ophthalmic complications"	"E13.3"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with neurological complications"	"E13.4"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with peripheral circulatory complications"	"E13.5"	8	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with other specified complications"	"E13.6"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with multiple complications"	"E13.7"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, with unspecified complications"	"E13.8"	4	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Other specified diabetes mellitus, without complications"	"E13.9"	55	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with coma"	"E14.0"	5391	4791200056	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	27908	4791200056	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	72188	4791200056	1.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with ophthalmic complications"	"E14.3"	271	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	3693	4791200056	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	64662	4791200056	1.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with other specified complications"	"E14.6"	3682	4791200056	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with multiple complications"	"E14.7"	10833	4791200056	0.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, with unspecified complications"	"E14.8"	671	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"	"Unspecified diabetes mellitus, without complications"	"E14.9"	620589	4791200056	13.0
"Total"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Diabetes mellitus"	"E10-E14"			1156786	4791200056	24.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	"Nondiabetic hypoglycaemic coma"	"E15"	377	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	"Drug-induced hypoglycaemia without coma"	"E16.0"	55	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	"Other hypoglycaemia"	"E16.1"	34	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	"Hypoglycaemia, unspecified"	"E16.2"	4343	4791200056	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	"Increased secretion of glucagon"	"E16.3"	2	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	"Abnormal secretion of gastrin"	"E16.4"	83	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	"Other specified disorders of pancreatic internal secretion"	"E16.8"	39	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"	"Disorder of pancreatic internal secretion, unspecified"	"E16.9"	4	4791200056	Unreliable
"Total"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other disorders of glucose regulation and pancreatic internal secretion"	"E15-E16"			4937	4791200056	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Idiopathic hypoparathyroidism"	"E20.0"	2	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Pseudohypoparathyroidism"	"E20.1"	10	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other hypoparathyroidism"	"E20.8"	5	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Hypoparathyroidism, unspecified"	"E20.9"	166	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Primary hyperparathyroidism"	"E21.0"	119	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Secondary hyperparathyroidism, not elsewhere classified"	"E21.1"	18	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other hyperparathyroidism"	"E21.2"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Hyperparathyroidism, unspecified"	"E21.3"	1283	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other specified disorders of parathyroid gland"	"E21.4"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Disorder of parathyroid gland, unspecified"	"E21.5"	58	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Acromegaly and pituitary gigantism"	"E22.0"	176	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Hyperprolactinaemia"	"E22.1"	4	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Syndrome of inappropriate secretion of antidiuretic hormone"	"E22.2"	840	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other hyperfunction of pituitary gland"	"E22.8"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Hyperfunction of pituitary gland, unspecified"	"E22.9"	7	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Hypopituitarism"	"E23.0"	1255	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Drug-induced hypopituitarism"	"E23.1"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Diabetes insipidus"	"E23.2"	737	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Hypothalamic dysfunction, not elsewhere classified"	"E23.3"	50	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other disorders of pituitary gland"	"E23.6"	88	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Disorder of pituitary gland, unspecified"	"E23.7"	147	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Pituitary-dependent Cushing's disease"	"E24.0"	8	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Nelson's syndrome"	"E24.1"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Drug-induced Cushing's syndrome"	"E24.2"	34	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Ectopic ACTH syndrome"	"E24.3"	10	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Alcohol-induced pseudo-Cushing's syndrome"	"E24.4"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other Cushing's syndrome"	"E24.8"	2	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Cushing's syndrome, unspecified"	"E24.9"	347	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Congenital adrenogenital disorders associated with enzyme deficiency"	"E25.0"	99	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other adrenogenital disorders"	"E25.8"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Adrenogenital disorder, unspecified"	"E25.9"	4	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Primary hyperaldosteronism"	"E26.0"	31	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Secondary hyperaldosteronism"	"E26.1"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other hyperaldosteronism"	"E26.8"	34	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Hyperaldosteronism, unspecified"	"E26.9"	55	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other adrenocortical overactivity"	"E27.0"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Primary adrenocortical insufficiency"	"E27.1"	1571	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Addisonian crisis"	"E27.2"	158	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Drug-induced adrenocortical insufficiency"	"E27.3"	10	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other and unspecified adrenocortical insufficiency"	"E27.4"	1733	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Adrenomedullary hyperfunction"	"E27.5"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other specified disorders of adrenal gland"	"E27.8"	56	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Disorder of adrenal gland, unspecified"	"E27.9"	301	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Estrogen excess"	"E28.0"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Androgen excess"	"E28.1"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Polycystic ovarian syndrome"	"E28.2"	21	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Primary ovarian failure"	"E28.3"	10	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other ovarian dysfunction"	"E28.8"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Ovarian dysfunction, unspecified"	"E28.9"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Testicular hyperfunction"	"E29.0"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Testicular hypofunction"	"E29.1"	27	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other testicular dysfunction"	"E29.8"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Testicular dysfunction, unspecified"	"E29.9"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Delayed puberty"	"E30.0"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Precocious puberty"	"E30.1"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other disorders of puberty"	"E30.8"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Disorder of puberty, unspecified"	"E30.9"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Autoimmune polyglandular failure"	"E31.0"	52	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Polyglandular hyperfunction"	"E31.1"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other polyglandular dysfunction"	"E31.8"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Polyglandular dysfunction, unspecified"	"E31.9"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Persistent hyperplasia of thymus"	"E32.0"	17	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Abscess of thymus"	"E32.1"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other diseases of thymus"	"E32.8"	16	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Disease of thymus, unspecified"	"E32.9"	13	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Carcinoid syndrome"	"E34.0"	889	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other hypersecretion of intestinal hormones"	"E34.1"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Ectopic hormone secretion, not elsewhere classified"	"E34.2"	3	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Short stature, not elsewhere classified"	"E34.3"	230	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Constitutional tall stature"	"E34.4"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Androgen resistance syndrome"	"E34.5"	4	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Other specified endocrine disorders"	"E34.8"	68	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"	"Endocrine disorder, unspecified"	"E34.9"	63	4791200056	0.0
"Total"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Disorders of other endocrine glands"	"E20-E34"			10855	4791200056	0.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	"Kwashiorkor"	"E40"	98	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	"Nutritional marasmus"	"E41"	1623	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	"Marasmic kwashiorkor"	"E42"	9	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	"Unspecified severe protein-energy malnutrition"	"E43"	8919	4791200056	0.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	"Moderate protein-energy malnutrition"	"E44.0"	97	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	"Mild protein-energy malnutrition"	"E44.1"	13	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	"Retarded development following protein-energy malnutrition"	"E45"	2121	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"	"Unspecified protein-energy malnutrition"	"E46"	37429	4791200056	0.8
"Total"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Malnutrition"	"E40-E46"			50309	4791200056	1.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin A deficiency with conjunctival xerosis"	"E50.0"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin A deficiency with Bitot's spot and conjunctival xerosis"	"E50.1"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin A deficiency with corneal xerosis"	"E50.2"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin A deficiency with corneal ulceration and xerosis"	"E50.3"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin A deficiency with keratomalacia"	"E50.4"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin A deficiency with night blindness"	"E50.5"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin A deficiency with xerophthalmic scars of cornea"	"E50.6"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Other ocular manifestations of vitamin A deficiency"	"E50.7"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Other manifestations of vitamin A deficiency"	"E50.8"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin A deficiency, unspecified"	"E50.9"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Beriberi"	"E51.1"	9	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Wernicke's encephalopathy"	"E51.2"	314	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Other manifestations of thiamine deficiency"	"E51.8"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Thiamine deficiency, unspecified"	"E51.9"	8	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Niacin deficiency [pellagra]"	"E52"	2	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Riboflavin deficiency"	"E53.0"	1	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Pyridoxine deficiency"	"E53.1"	2	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Deficiency of other specified B group vitamins"	"E53.8"	674	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin B deficiency, unspecified"	"E53.9"	8	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Ascorbic acid deficiency"	"E54"	10	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Rickets, active"	"E55.0"	25	4791200056	0.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin D deficiency, unspecified"	"E55.9"	12	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Deficiency of vitamin E"	"E56.0"	0	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Deficiency of vitamin K"	"E56.1"	9	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Deficiency of other vitamins"	"E56.8"	2	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Vitamin deficiency, unspecified"	"E56.9"	17	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Dietary calcium deficiency"	"E58"	2	4791200056	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Other nutritional deficiencies"	"E50-E64"	"Dietary selenium deficiency"	"E59"	1	4791200056	Unreliable
